# Список (потенциально всех) русских названий улиц
# Для удобства:
# - Не удаляйте заголовок
# - Поддерживайте сортировку списка (см. скрипт sort.sh)
# - Добавляйте комментарии к неочевидным названиям (Ангелов переулок,
#   Усачёва улица) и проблемам с е/ё; в комментарии указывайте регион,
#   где название встречается и, если возможно, ссылки на информацию
#   почему название именно такое
# - Комментарии начинаются с # <- 30-й позиции в строке
# - Возможные ошибки, которые надо расследовать и исправить, отмечаются
#   XXX или FIXME
# - Для названий, проверенных по внешним источникам, добавляйте тэги
#   в комментариях. При изменении, соответственно, тэг следует убрать.
#   На данный момент:
#     [ОМКУМ] - классификатор улиц Москвы
1-я улица Грамши
1-я улица Дарвина
1-я улица Дежнева
1-я улица Дружбы
1-я улица Дьяково-Городище
1-я улица Измайловского Зверинца
1-я улица Кетрица
1-я улица Кирова
1-я улица Красной Звезды
1-я улица Лазенки
1-я улица Леонова
1-я улица Лескова
1-я улица Ломоносова
1-я улица Лукино
1-я улица Лётчиков
1-я улица Майдан
1-я улица Машиностроения
1-я улица Мебельщиков
1-я улица Металлистов
1-я улица Механизаторов
1-я улица Мира
1-я улица Мичурина
1-я улица Новосёлки
1-я улица Новые Сады
1-я улица Пестеля
1-я улица Попова
1-я улица Профинтерна
1-я улица Пугачёва
1-я улица Пушкиская Горка
1-я улица Революции
1-я улица Репина
1-я улица Свердлова
1-я улица Свободы
1-я улица Серова
1-я улица Синичкина
1-я улица Суворова
1-я улица Текстильщиков
1-я улица Ушакова
1-я улица Фрунзе
1-я улица Чапаева
1-я улица Челюскинцев
1-я улица Шевцовой
1-я улица Шевченко
1-я улица Шелепихи
1-я улица Энтузиастов
1-я улица Ямского Поля
10-й Анисовый проезд
10-й Деповский переулок
10-й Квартальный проезд
10-й Ленинский переулок
10-й Линейный переулок
10-й Линейный проезд
10-й Линейный тупик
10-й Полевой проезд
10-й Пугачёвский тупик
10-й Северный переулок
10-й Северный проезд
10-й Степной переулок
10-й микрорайон
10-й переулок Маяковского
10-й проезд Марьиной Рощи
10-й просек
10-й тупик
10-я Амурская улица
10-я Балтийская улица
10-я Вишнёвая улица
10-я Дружная улица
10-я Завокзальная улица
10-я Заозёрная улица
10-я Заречная улица
10-я Земледельческая улица
10-я Инструментальная улица
10-я Красноармейская улица
10-я Ладожская улица
10-я Лесная улица
10-я Литейная улица
10-я Октябрьская улица
10-я Парковая улица
10-я Престижная улица
10-я Радиальная улица
10-я Ремесленная улица
10-я Речная улица
10-я Садовая улица
10-я Самарская улица
10-я Санаторная улица
